Data,Lifetime Total Likes,Daily New Likes,Daily Unlikes,Daily Page Engaged Users,Weekly Page Engaged Users,28 Days Page Engaged Users,Daily Total Reach,Weekly Total Reach,28 Days Total Reach,Daily Organic Reach,Weekly Organic Reach,28 Days Organic Reach,Daily Paid Reach,Weekly Paid Reach,28 Days Paid Reach,Daily Viral Reach,Weekly Viral Reach,28 Days Viral Reach,Daily Total Impressions,Weekly Total Impressions,28 Days Total Impressions,Daily Organic impressions,Weekly Organic impressions,28 Days Organic impressions,Daily Paid Impressions,Weekly Paid Impressions,28 Days Paid Impressions,Daily Viral impressions,Weekly Viral impressions,28 Days Viral impressions,Daily Logged-in Page Views,Weekly Logged-in Page Views,Daily Logged-in Page Views,Weekly Logged-in Page Views,Daily Reach Of Page Posts,Weekly Reach Of Page Posts,28 Days Reach Of Page Posts,Daily Organic Reach of Page posts,Weekly Organic Reach of Page posts,28 Days Organic Reach of Page posts,Daily Paid Reach of Page posts,Weekly Paid Reach of Page posts,28 Days Paid Reach of Page posts,Daily Viral Reach Of Page Posts,Weekly Viral Reach Of Page Posts,28 Days Viral Reach Of Page Posts,Daily Total Impressions of your posts,Weekly Total Impressions of your posts,28 Days Total Impressions of your posts,Daily Organic impressions of your posts,Weekly Organic impressions of your posts,28 Days Organic impressions of your posts,Daily Paid impressions of your posts,Weekly Paid impressions of your posts,28 Days Paid impressions of your posts,Daily Viral Impressions Of Your Posts,Weekly Viral Impressions Of Your Posts,28 Days Viral Impressions Of Your Posts,Daily Total Consumers,Weekly Total Consumers,28 Days Total Consumers,Daily Page Consumptions,Weekly Page Consumptions,28 Days Page Consumptions,Daily Negative Feedback,Weekly Negative Feedback,28 Days Negative Feedback,Daily Negative Feedback From Users,Weekly Negative Feedback From Users,28 Days Negative Feedback From Users,Daily Total Check-Ins,Weekly Total Check-Ins,28 Days Total Check-Ins,Daily Total Check-Ins,Weekly Total Check-Ins,28 Days Total Check-Ins,Daily Total Check-Ins Using Mobile Devices,Weekly Total Check-Ins Using Mobile Devices,28 Days Total Check-Ins Using Mobile Devices,Daily Total Check-Ins Using Mobile Devices,Weekly Total Check-Ins Using Mobile Devices,28 Days Total Check-Ins Using Mobile Devices,Daily Total Organic Views,Weekly Total Organic Views,28 Days Total Organic Views,Daily Total Promoted Views,Weekly Total Promoted Views,28 Days Total Promoted Views,Daily Total Organic 30-Second Views,Weekly Total Organic 30-Second Views,28 Days Total Organic 30-Second Views,Daily Paid 30-Second Views,Weekly Paid 30-Second Views,28 Days Paid 30-Second Views,Daily Total Video Views,Weekly Total Video Views,28 Days Total Video Views,Daily Total Auto-Played Views,Weekly Total Auto-Played Views,28 Days Total Auto-Played Views,Daily Total Clicked Views,Weekly Total Clicked Views,28 Days Total Clicked Views,Daily Video Repeats,Weekly Video Repeats,28 Days Video Repeats,Daily Total Unique Video Views,Weekly Total Unique Video Views,28 Days Total Unique Video Views,Daily Total 30-Second Views,Weekly Total 30-Second Views,28 Days Total 30-Second Views,Daily Auto-Played 30-Second Views,Weekly Auto-Played 30-Second Views,28 Days Auto-Played 30-Second Views,Daily Total Clicked 30-Second Views,Weekly Total Clicked 30-Second Views,28 Days Total Clicked 30-Second Views,Daily Total 30-Second Repeats,Weekly Total 30-Second Repeats,28 Days Total 30-Second Repeats,Daily Total Unique 30-Second Views,Weekly Total Unique 30-Second Views,28 Days Total Unique 30-Second Views,Daily Total: total action count per Page,Weekly Total: total action count per Page,Daily Total get direction click count per Page,Weekly Total get direction click count per Page,Daily Total get direction click count per Page,Weekly Total get direction click count per Page,Daily Total phone calls click count per Page,Weekly Total phone calls click count per Page,Daily Total phone calls click count per Page,Weekly Total phone calls click count per Page,Daily Total website click count per Page,Weekly Total website click count per Page,Daily Total website click count per Page,Weekly Total website click count per Page
,Lifetime: The total number of people who have liked your Page. (Unique Users),Daily: The number of new people who have liked your Page (Unique Users),Daily: The number of Unlikes of your Page (Unique Users),Daily: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users),Weekly: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users),28 Days: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users),"Daily: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users)","Weekly: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users)","28 Days: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users)","Daily: The number of people who had any content from your Page or about your Page enter their screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Unique Users)","Weekly: The number of people who had any content from your Page or about your Page enter their screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Unique Users)","28 Days: The number of people who had any content from your Page or about your Page enter their screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Unique Users)",Daily: The number of people who had any content from your Page or about your Page enter their screen through paid distribution such as an ad. (Unique Users),Weekly: The number of people who had any content from your Page or about your Page enter their screen through paid distribution such as an ad. (Unique Users),28 Days: The number of people who had any content from your Page or about your Page enter their screen through paid distribution such as an ad. (Unique Users),"Daily:  The number of people who had any content from your Page or about your Page enter their screen through with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","Weekly:  The number of people who had any content from your Page or about your Page enter their screen through with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","28 Days:  The number of people who had any content from your Page or about your Page enter their screen through with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with your Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","Daily: The number of times any content from your Page or about your Page entered a person's screen. This includes posts, stories, check-ins, ads, social information from people who interact with your Page and more. (Total Count)","Weekly: The number of times any content from your Page or about your Page entered a person's screen. This includes posts, stories, check-ins, ads, social information from people who interact with your Page and more. (Total Count)","28 Days: The number of times any content from your Page or about your Page entered a person's screen. This includes posts, stories, check-ins, ads, social information from people who interact with your Page and more. (Total Count)","Daily: The number of times any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Total Count)","Weekly: The number of times any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Total Count)","28 Days: The number of times any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Total Count)",Daily: The number of times any content from your Page or about your Page entered a person's screen through paid distribution such as an ad. (Total Count),Weekly: The number of times any content from your Page or about your Page entered a person's screen through paid distribution such as an ad. (Total Count),28 Days: The number of times any content from your Page or about your Page entered a person's screen through paid distribution such as an ad. (Total Count),"Daily: The number of times any content from your Page or about your Page entered a person's screen with social information attached. Social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","Weekly: The number of times any content from your Page or about your Page entered a person's screen with social information attached. Social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","28 Days: The number of times any content from your Page or about your Page entered a person's screen with social information attached. Social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)",Daily: Page Views from users logged into Facebook (Total Count),Weekly: Page Views from users logged into Facebook (Total Count),Daily: Page Views from users logged into Facebook (Unique Users),Weekly: Page Views from users logged into Facebook (Unique Users),"Daily: The number of people who had any of your Page's posts enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Weekly: The number of people who had any of your Page's posts enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","28 Days: The number of people who had any of your Page's posts enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Daily: The number of people who had any of your Page's posts enter their screen through unpaid distribution. (Unique Users),Weekly: The number of people who had any of your Page's posts enter their screen through unpaid distribution. (Unique Users),28 Days: The number of people who had any of your Page's posts enter their screen through unpaid distribution. (Unique Users),Daily: The number of people who had any of your Page's posts enter their screen through paid distribution such as an ad. (Unique Users),Weekly: The number of people who had any of your Page's posts enter their screen through paid distribution such as an ad. (Unique Users),28 Days: The number of people who had any of your Page's posts enter their screen through paid distribution such as an ad. (Unique Users),"Daily: The number of people who had any of your Page's posts enter their screen with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","Weekly: The number of people who had any of your Page's posts enter their screen with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","28 Days: The number of people who had any of your Page's posts enter their screen with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","Daily: The number of times your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Weekly: The number of times your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","28 Days: The number of times your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Daily: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Weekly: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),28 Days: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Daily: The number of times your Page's posts entered a person's screen through paid distribution such as an ad. (Total Count),Weekly: The number of times your Page's posts entered a person's screen through paid distribution such as an ad. (Total Count),28 Days: The number of times your Page's posts entered a person's screen through paid distribution such as an ad. (Total Count),"Daily: The number of times your Page's posts entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","Weekly: The number of times your Page's posts entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","28 Days: The number of times your Page's posts entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","Daily: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users)","Weekly: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users)","28 Days: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users)","Daily: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count)","Weekly: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count)","28 Days: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count)",Daily: The number of people who have given negative feedback to your Page. (Unique Users),Weekly: The number of people who have given negative feedback to your Page. (Unique Users),28 Days: The number of people who have given negative feedback to your Page. (Unique Users),Daily: The number of times people have given negative feedback to your Page. (Total Count),Weekly: The number of times people have given negative feedback to your Page. (Total Count),28 Days: The number of times people have given negative feedback to your Page. (Total Count),Daily: Total check-ins at your Place (Total Count),Weekly: Total check-ins at your Place (Total Count),28 Days: Total check-ins at your Place (Total Count),Daily: Total check-ins at your Place (Unique Users),Weekly: Total check-ins at your Place (Unique Users),28 Days: Total check-ins at your Place (Unique Users),Daily: Total check-ins at your Place using mobile devices (Total Count),Weekly: Total check-ins at your Place using mobile devices (Total Count),28 Days: Total check-ins at your Place using mobile devices (Total Count),Daily: Total check-ins at your Place using mobile devices (Unique Users),Weekly: Total check-ins at your Place using mobile devices (Unique Users),28 Days: Total check-ins at your Place using mobile devices (Unique Users),Daily: Number of times a video has been viewed due to organic reach (Total Count),Weekly: Number of times a video has been viewed due to organic reach (Total Count),28 Days: Number of times a video has been viewed due to organic reach (Total Count),Daily: Number of times a promoted video has been viewed for more than 3 seconds (Total Count),Weekly: Number of times a promoted video has been viewed for more than 3 seconds (Total Count),28 Days: Number of times a promoted video has been viewed for more than 3 seconds (Total Count),Daily: Number of times the video has been viewed for at least 30s by organic reach (Total Count),Weekly: Number of times the video has been viewed for at least 30s by organic reach (Total Count),28 Days: Number of times the video has been viewed for at least 30s by organic reach (Total Count),"Daily: Number of times page's videos was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion. (Total Count)","Weekly: Number of times page's videos was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion. (Total Count)","28 Days: Number of times page's videos was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion. (Total Count)",Daily: Total number of times videos have been viewed for more than 3 seconds. (Total Count),Weekly: Total number of times videos have been viewed for more than 3 seconds. (Total Count),28 Days: Total number of times videos have been viewed for more than 3 seconds. (Total Count),Daily: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count),Weekly: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count),28 Days: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count),Daily: Number of times a video has been viewed after the user clicked play (Total Count),Weekly: Number of times a video has been viewed after the user clicked play (Total Count),28 Days: Number of times a video has been viewed after the user clicked play (Total Count),Daily: Number of times the video has been seen outside the first play (Total Count),Weekly: Number of times the video has been seen outside the first play (Total Count),28 Days: Number of times the video has been seen outside the first play (Total Count),Daily: Metric showing videos played for unique people for more than 3 seconds aggregated at the page level (Unique Users),Weekly: Metric showing video played for unique people for more than 3 seconds aggregated at the page level (Unique Users),28 Days: Metric showing video played for unique people for more than 3 seconds aggregated at the page level (Unique Users),Daily: Total number of times page's videos was viewed for at least 30 seconds. (Total Count),Weekly: Total number of times page's videos was viewed for at least 30 seconds. (Total Count),28 Days: Total number of times page's videos was viewed for at least 30 seconds. (Total Count),"Daily: Number of times your page's videos started automatically playing and people viewed it for 30 seconds or to the end, whichever came first. (Total Count)","Weekly: Number of times your page's videos started automatically playing and people viewed it for 30 seconds or to the end, whichever came first. (Total Count)","28 Days: Number of times your page's videos started automatically playing and people viewed it for 30 seconds or to the end, whichever came first. (Total Count)",Daily: Number of times a video has been viewed for at least 30s after the user clicked play (Total Count),Weekly: Number of times a video has been viewed for at least 30s after the user clicked play (Total Count),28 Days: Number of times a video has been viewed for at least 30s after the user clicked play (Total Count),Daily: Number of times a video has been viewed for at least 30s outside the first play (Total Count),Weekly: Number of times a video has been viewed for at least 30s outside the first play (Total Count),28 Days: Number of times a video has been viewed for at least 30s outside the first play (Total Count),Daily: Metric showing videos played for unique people for at least 30 seconds aggregated at the page level (Unique Users),Weekly: Metric showing videos played for unique people for at least 30 seconds aggregated at the page level (Unique Users),28 Days: Metric showing videos played for unique people for at least 30 seconds aggregated at the page level (Unique Users),Daily: The number of clicks on your Page's contact info and call-to-action button.,Weekly: The number of clicks on your Page's contact info and call-to-action button.,Daily: Total get direction click count per Page,Weekly: Total get direction click count per Page,Daily: Total get direction click count per Page  (Unique Users),Weekly: Total get direction click count per Page (Unique Users),Daily: Total phone calls click count per Page,Weekly: Total phone calls click count per Page,Daily: Total phone calls click count per Page (Unique Users),Weekly: Total phone calls click count per Page (Unique Users),Daily: Total website click count per Page,Weekly: Total website click count per Page,Daily: Total website click count per Page (Unique Users),Weekly: Total website click count per Page (Unique Users)
6/30/20,19982,10,2,534,6620,22024,25690,288029,596807,2322,6797,18879,23179,281739,588351,508,2110,9747,36308,716132,2342974,4436,20073,96379,31600,695063,2242545,620,2730,18615,272,996,184,523,25521,288029,596290,2202,6469,18042,23179,281739,588351,498,2044,9388,35170,712217,2326404,3570,17154,83859,31600,695063,2242545,607,2594,17993,493,6424,21353,591,8319,36079,,3,11,,3,12,,,,,,,,,,,,,63,422,9155,202,23496,76966,8,55,1653,24,2342,8394,265,23918,86121,261,20634,75460,4,3284,10661,26,7380,40080,239,16538,46041,32,2397,10047,31,1876,8034,1,521,2013,1,423,3020,31,1974,7027,2,18,,,,,,,,,2,10,2,9
7/1/20,19988,8,2,122,5532,21786,1725,255413,597700,1400,4880,17678,270,250020,587905,242,1460,8592,3646,597521,2335329,3053,16687,91979,388,579797,2239262,378,2029,16377,205,1037,129,572,1507,255087,596319,1262,4523,16938,270,250020,587905,228,1392,8279,2708,593674,2319360,2320,13877,80098,388,579797,2239262,317,1864,15713,88,5357,21122,145,6708,35351,,1,11,,1,12,,,,,,,,,,,,,52,368,9133,,19546,76966,16,61,1659,,1949,8394,52,19914,86099,50,17181,75439,2,2733,10660,17,5794,40100,35,14120,45999,16,2010,10053,14,1583,8041,2,427,2012,3,296,3010,13,1714,7043,1,17,,,,,,,,,,9,,8
7/2/20,19988,1,1,213,4551,21820,6896,222943,597989,1691,4859,17249,5490,217524,588687,461,1533,8144,11397,494451,2338087,4265,18085,91272,6947,475269,2242688,622,2358,15640,185,1097,42,540,6872,222695,596778,1643,4469,16566,5490,217524,588687,451,1460,7857,11035,490814,2322561,4088,15545,79873,6947,475269,2242688,606,2211,14969,166,4374,21172,270,5721,34845,,,11,,,12,,,,,,,,,,,,,36,336,8084,,15279,76966,10,57,1496,,1515,8394,36,15615,85050,30,13472,74407,6,2143,10643,14,4066,39661,22,11549,45389,10,1572,9890,5,1229,7888,5,343,2002,2,206,2908,8,1366,6982,1,16,,,,,,,,,1,9,1,8
7/3/20,19992,6,2,448,4061,21872,13892,199795,602791,2528,5414,17066,12112,194114,593796,504,1751,8063,24559,408086,2349868,5887,20925,94207,18541,386065,2251526,704,2890,15797,131,1096,63,537,13796,199466,601561,2405,4816,16390,12112,194114,593796,497,1686,7767,23724,404376,2334398,5183,18311,82872,18541,386065,2251526,691,2739,15137,383,3880,21175,616,5131,34631,,,11,,,12,,,,,,,,,,,,,411,698,8234,,11821,76966,64,114,1524,,1176,8394,411,12519,85200,399,10843,74554,12,1676,10646,33,2857,39673,378,9662,45527,64,1290,9918,60,1027,7916,4,263,2002,3,154,2926,61,1136,6992,1,12,,,,,,,,,1,6,1,6
7/4/20,19998,6,,403,3466,21312,12089,166885,600060,681,5329,14896,11508,162525,592964,170,1737,6678,20124,327914,2342871,1582,21180,87818,18468,305670,2251060,234,2921,12977,74,1064,34,509,12041,166334,598841,607,4744,14151,11508,162525,592964,164,1679,6397,19768,324058,2327395,1300,18388,76335,18468,305670,2251060,221,2775,12393,374,3289,20655,568,4580,33593,,,10,,,11,,,,,,,,,,,,,89,734,6416,,7971,75332,17,122,1087,,755,8153,89,8705,81748,87,7573,71256,2,1132,10492,13,1619,37981,76,7086,43767,17,877,9240,15,701,7343,2,176,1897,2,105,2705,15,772,6535,1,13,,,,,,,,,,6,,6
7/5/20,20001,4,1,550,2908,21286,16495,123341,597001,1178,5362,13984,15620,118293,591414,131,1664,5965,27438,243025,2342338,2319,22411,87268,25010,219520,2251100,204,2905,11957,109,1094,53,512,16495,123040,595795,1169,4827,13217,15620,118293,591414,124,1604,5706,27315,239140,2326899,2305,19620,75799,25010,219520,2251100,190,2760,11387,517,2726,20593,1068,4465,33314,,,9,,,10,,,,,,,,,,,,,261,944,6052,,3468,73417,40,158,1000,,326,7890,261,4412,79469,248,3928,69013,13,484,10456,25,740,36578,236,3672,42891,40,484,8890,35,393,7023,5,91,1867,5,51,2547,35,433,6343,1,13,,,,,,,,,,6,,6
7/6/20,20009,10,2,1260,2950,21513,34398,69989,601377,1054,5381,13504,33840,67037,595707,110,1664,5732,54309,177781,2368748,2096,23638,86031,52015,152969,2278662,178,2940,11316,198,1174,96,539,34386,69605,600153,1049,5120,12753,33840,67037,595707,103,1599,5477,54082,173802,2353215,2067,20833,74553,52015,152969,2278662,149,2781,10737,1211,2757,20845,1755,5013,34464,,,9,,,10,,,,,,,,,,,,,180,1092,5960,145,347,71967,29,184,991,37,61,7747,325,1439,77927,319,1394,67485,6,45,10442,29,246,35471,296,1193,42456,66,245,8738,61,221,6878,5,24,1860,3,30,2551,63,215,6187,2,9,,,,,,,,,1,5,1,5
7/7/20,20018,11,3,1416,3642,22370,38658,67530,603398,2528,5765,13469,36603,63845,597158,803,2027,5921,60475,201948,2395676,5408,24610,85424,54712,176081,2305977,979,3299,10914,355,1257,129,476,38439,67161,602166,2369,5463,12691,36603,63845,597158,791,1964,5652,59255,197887,2379913,4543,21806,73936,54712,176081,2305977,960,3134,10330,1345,3407,21665,1893,6315,35615,,,9,,,10,,,,,,,,,,,,,666,1695,5649,162,307,70823,128,304,920,35,72,7629,828,2002,76472,723,1856,65968,105,146,10504,90,450,34193,738,1552,42279,163,376,8549,117,307,6671,46,69,1878,22,53,2545,141,323,6004,1,8,,,,,,,,,1,4,1,4
7/8/20,20026,10,1,679,4120,22246,33044,84764,606028,1112,5773,13494,32236,81375,599733,264,2060,5939,47881,246183,2394300,2341,23898,84466,45396,221089,2305572,372,3293,10853,144,1196,64,406,32820,84583,604785,1024,5463,12692,32236,81375,599733,262,2001,5660,47451,242630,2379028,2055,21541,73456,45396,221089,2305572,363,3180,10275,638,3880,21521,910,7080,35317,,,9,,,10,,,,,,,,,,,,,154,1797,5563,4390,4697,73758,36,324,901,241,313,7693,4544,6494,79321,4511,6317,68808,33,177,10513,519,897,34758,4025,5597,44563,277,637,8594,256,549,6707,21,88,1887,15,78,2505,262,559,6089,2,9,,,,,,,,,1,5,1,5
